product code,quantity,estimated delivery date,lodgement date,contract number,salesman number
T7E2913,210,2021-01-25,2021-02-26,CSE0000012,11510427
MR46392,510,2021-02-13,2021-02-28,CSE0000012,12112001
H8713D4,280,2021-02-16,2021-01-12,CSE0000012,12110203
C681E75,20,2021-03-02,2021-02-27,CSE0000012,11610318
I291Q38,330,2021-03-06,2021-02-01,CSE0000012,12211226
TU23769,10,2021-03-07,2021-01-30,CSE0000012,12212215
S2180L4,180,2021-01-21,2021-02-15,CSE0000012,11211217
A794O23,760,2021-03-12,2021-02-08,CSE0000012,11611819
O853L07,910,2021-01-30,2021-02-20,CSE0000012,12110421
LR91308,60,2021-01-14,2021-02-12,CSE0000012,11412900
H4239U1,100,2021-01-24,2021-02-05,CSE0000012,12112122
T9T8140,230,2021-02-22,2021-01-27,CSE0000012,11710914
S86042Z,600,2021-02-08,2021-02-28,CSE0000012,11212711
MR46392,870,2022-01-20,2022-02-03,CSE0000013,11610803
D230D47,220,2005-07-03,2005-06-22,CSE0000014,11211610
A50L172,440,2015-04-19,2015-05-19,CSE0000015,11412106
G053V91,490,2015-04-25,2015-04-18,CSE0000015,11712016
C48967S,480,2015-04-28,2015-04-29,CSE0000015,11811304
C6C1543,480,2015-04-29,2015-05-23,CSE0000015,11710012
RC12709,30,2015-05-16,2015-03-26,CSE0000015,12010008
GC81302,910,2015-05-20,2015-04-06,CSE0000015,11810206
H239M48,1000,2015-04-24,2015-04-23,CSE0000015,11310620
N89L425,470,2015-04-24,2015-05-13,CSE0000015,11512413
CY08734,230,2015-05-09,2015-04-27,CSE0000015,11812826
H8713D4,990,2015-04-08,2015-04-06,CSE0000015,11912215
L15649H,530,2015-04-15,2015-05-04,CSE0000015,11910723
M6328D7,340,2015-04-30,2015-04-06,CSE0000015,11610317
LR91308,500,2015-05-08,2015-04-27,CSE0000015,12211326
I072X68,10,2015-05-22,2015-04-17,CSE0000015,11610101
A37260X,870,2015-04-18,2015-05-22,CSE0000015,11412820
P3650F7,490,2015-05-20,2015-04-20,CSE0000015,11910723
VM86749,560,2015-05-09,2015-05-14,CSE0000015,11712019
D0W8356,610,2015-04-05,2015-05-12,CSE0000015,11211219
W49310P,310,2015-05-09,2015-05-24,CSE0000015,12012820
E738Y40,870,2013-11-24,2013-10-30,CSE0000016,11111510
PY35974,480,2013-12-03,2013-12-17,CSE0000016,12011723
C98142A,610,2013-12-01,2013-11-08,CSE0000016,12010225
WJ50817,750,2013-10-27,2013-12-21,CSE0000016,11212524
M328K91,410,2013-10-30,2013-11-26,CSE0000016,11412311
L8N0649,310,2013-12-22,2013-12-02,CSE0000016,12111613
MM72065,650,2013-12-19,2013-12-15,CSE0000016,11911112
L504L71,340,2013-12-10,2013-11-24,CSE0000016,11911112
C46258Y,300,2013-10-31,2013-11-04,CSE0000016,11711514
P41857Y,970,2013-11-12,2013-11-08,CSE0000016,11410502
L0X9362,610,2013-11-24,2013-12-09,CSE0000016,11412623
F6L2495,140,2013-12-11,2013-12-16,CSE0000016,11611819
L0X9362,980,2013-11-18,2013-11-27,CSE0000016,11810104
P6398B4,1000,2013-12-02,2013-12-18,CSE0000016,11710008
CF29758,770,2013-11-10,2013-11-03,CSE0000016,11210425
GS13927,40,2013-11-25,2013-12-14,CSE0000016,12011708
C95F078,890,2013-10-28,2013-12-01,CSE0000016,12011424
L92148E,360,2013-12-16,2013-12-19,CSE0000016,12210529
L92148E,500,2013-12-13,2013-12-05,CSE0000016,11410502
R54810N,140,2013-11-16,2013-11-25,CSE0000016,11511312
L891S65,270,2013-11-19,2013-11-06,CSE0000016,11111605
F24170J,150,2013-11-03,2013-10-31,CSE0000016,11310829
F24170J,10,2013-11-29,2013-12-10,CSE0000016,11411019
H089L35,50,2013-11-23,2013-11-19,CSE0000016,11812007
P15647X,40,2013-11-08,2013-11-21,CSE0000016,11510816
D0W8356,550,2013-11-25,2013-12-06,CSE0000016,11212524
S2501J4,720,2013-11-29,2013-10-26,CSE0000016,11611819
U198C32,230,2013-12-06,2013-11-10,CSE0000016,11511312
S2501J4,550,2013-11-22,2013-12-12,CSE0000016,11810104
T9508D4,820,2013-12-08,2013-11-16,CSE0000016,12112122
V5W8496,100,2013-11-17,2013-10-27,CSE0000016,12112122
V5W8496,930,2013-11-15,2013-10-31,CSE0000016,11812407
C2056I7,490,2013-11-15,2013-12-04,CSE0000016,11812728
C48967S,830,2013-11-23,2013-11-02,CSE0000016,12010120
SE17564,490,2013-11-14,2013-11-03,CSE0000016,11210120
P7604Q5,680,2013-10-31,2013-11-30,CSE0000016,11712325
TO87603,380,2013-12-09,2013-12-15,CSE0000016,12211226
L0528N6,690,2013-12-22,2013-11-23,CSE0000016,11111605
I357B21,460,2013-12-13,2013-11-24,CSE0000016,11710818
W9718W3,20,2013-10-29,2013-11-29,CSE0000016,11311712
BP82450,300,2013-12-11,2013-11-30,CSE0000016,12010313
A273M51,350,2002-11-05,2002-11-25,CSE0000017,11310324
G071O86,40,2002-11-20,2002-11-26,CSE0000017,11211017
G071O86,420,2002-11-17,2002-10-12,CSE0000017,11712200
S2501J4,970,2002-10-15,2002-10-30,CSE0000017,12011919
C6C1349,120,2002-10-07,2002-11-30,CSE0000017,11311901
R796N84,900,2002-11-19,2002-11-11,CSE0000017,11412011
K62879Z,470,2002-10-31,2002-10-29,CSE0000017,11610326
P4052D1,730,2002-10-07,2002-10-19,CSE0000017,11211429
S7K6834,350,2002-11-04,2002-10-27,CSE0000017,11310313
T0X9417,460,2002-11-16,2002-10-29,CSE0000017,11311906
A31Y204,680,2002-10-15,2002-10-30,CSE0000017,11411425
S93N807,10,2002-10-15,2002-10-14,CSE0000017,11910621
O032T69,360,2002-11-15,2002-11-14,CSE0000017,12110429
G9372K0,380,2002-11-15,2002-11-16,CSE0000017,12110020
H18Z450,970,2002-11-02,2002-10-14,CSE0000017,11311906
WC49732,580,2008-03-02,2008-03-23,CSE0000018,11811426
M8I1749,120,2008-02-24,2008-04-04,CSE0000018,11510209
A273M51,980,2004-03-30,2004-02-15,CSE0000019,11812407
L8N0649,620,2004-03-19,2004-03-27,CSE0000019,12011702
A35J746,430,2004-02-01,2004-03-15,CSE0000019,12012922
C7826A5,500,2004-02-06,2004-02-04,CSE0000019,11211210
T67P542,200,2004-02-12,2004-03-11,CSE0000019,11711514
I94V518,810,2004-02-22,2004-02-28,CSE0000019,11912320
F4K6753,270,2004-02-11,2004-03-15,CSE0000019,11611227
M97X845,220,2004-02-16,2004-02-09,CSE0000019,11110405
GC81302,370,2004-03-24,2004-03-25,CSE0000019,11211620
C04R672,670,2004-03-02,2004-03-16,CSE0000019,11511403
R5F0782,850,2004-03-14,2004-02-27,CSE0000019,11210425
B239N58,420,2004-02-22,2004-03-24,CSE0000019,11911112
C58G293,370,2004-02-12,2004-03-21,CSE0000019,11911604
T0829X7,190,2004-02-20,2004-03-11,CSE0000019,11910015
F24170J,750,2004-04-01,2004-03-30,CSE0000019,11710304
M4Y8765,750,2004-03-22,2004-03-23,CSE0000019,11210026
C2B7139,800,2004-02-03,2004-02-07,CSE0000019,11911804
H089L35,950,2004-02-08,2004-03-29,CSE0000019,11210906
WJ50817,350,2011-02-16,2011-01-24,CSE0000020,11211721
MM72065,270,2011-02-01,2011-03-12,CSE0000020,11812209
WM85971,980,2011-02-05,2011-02-26,CSE0000020,11610803
V0W6342,300,2011-02-13,2011-02-03,CSE0000020,11810021
C97014N,820,2011-03-12,2011-02-17,CSE0000020,11610022
W1473B8,390,2011-02-25,2011-02-25,CSE0000020,11211610
F9135R4,890,2011-03-01,2011-01-26,CSE0000020,12212123
CF29758,430,2011-01-27,2011-03-03,CSE0000020,11710522
IZ80719,960,2011-02-23,2011-02-14,CSE0000020,12110704
N13J804,240,2011-03-11,2011-02-08,CSE0000020,11610326
L891S65,390,2011-02-10,2011-02-22,CSE0000020,11612502
CS90168,1000,2011-01-28,2011-02-22,CSE0000020,11611210
P09Y825,700,2011-03-05,2011-03-01,CSE0000020,11611101
AE91287,310,2001-04-08,2001-04-22,CSE0000021,11612410
R796N84,970,2001-04-01,2001-04-06,CSE0000021,11611500
R243J08,250,2011-02-04,2011-03-23,CSE0000022,11112520
N74Y235,30,2006-03-08,2006-03-03,CSE0000023,12112312
D51962U,550,2006-01-28,2006-02-17,CSE0000023,11910106
N62Z458,10,2006-01-24,2006-02-11,CSE0000023,11410421
W1473B8,980,2006-02-19,2006-02-02,CSE0000023,11112116
M0467E1,730,2006-02-12,2006-03-07,CSE0000023,11912713
SY73215,960,2006-01-29,2006-03-03,CSE0000023,11210708
M8I1749,910,2006-02-22,2006-01-23,CSE0000023,11210708
S7K6834,310,2011-08-13,2011-08-07,CSE0000024,11712200
F9N8470,450,2011-09-08,2011-08-16,CSE0000024,12212407
MR92570,500,2011-08-26,2011-08-26,CSE0000024,11812006
CO19853,450,2011-09-30,2011-09-23,CSE0000024,11712202
P56U187,660,2011-09-01,2011-08-21,CSE0000024,11112504
C02614Q,220,2011-08-06,2011-09-14,CSE0000024,11710106
EZ12538,270,2011-08-15,2011-08-11,CSE0000024,12010902
P8130N9,730,2011-08-28,2011-08-20,CSE0000024,12212407
CN93120,430,2011-08-18,2011-09-12,CSE0000024,11712200
A35J746,240,2011-08-25,2011-08-06,CSE0000024,11211721
A273M51,690,2011-09-05,2011-08-31,CSE0000024,11710029
K62879Z,290,2011-09-30,2011-09-03,CSE0000024,11811307
C98142A,380,2017-12-19,2017-11-26,CSE0000025,11910916
P6O1843,280,2017-11-07,2017-11-08,CSE0000025,11810914
P02C741,490,2017-12-06,2017-12-26,CSE0000025,11911627
DT47956,130,2017-11-08,2017-12-08,CSE0000025,12211913
D0Q2543,130,2018-01-04,2017-12-03,CSE0000025,12112006
O032T69,1000,2017-11-26,2017-12-09,CSE0000025,11712202
T9T8140,980,2017-11-18,2017-11-15,CSE0000025,11710828
OP18549,680,2017-12-02,2017-11-11,CSE0000025,11112326
T35X601,650,2017-11-21,2017-11-19,CSE0000025,11610803
M8I1749,140,2017-11-24,2017-11-11,CSE0000025,11610900
T035M47,630,2019-08-09,2019-06-27,CSE0000026,11311712
H64578X,680,2019-06-17,2019-07-09,CSE0000026,11311712
MM72065,520,2019-08-08,2019-07-03,CSE0000026,11610600
S7843Q5,470,2019-08-06,2019-06-19,CSE0000026,12110325
A4A8763,660,2019-06-23,2019-06-28,CSE0000026,12111219
R2I4560,940,2019-07-16,2019-06-19,CSE0000026,11211210
A794O23,770,2019-07-06,2019-07-11,CSE0000026,11112822
C96H382,210,2019-08-05,2019-06-23,CSE0000026,11111510
A08264O,980,2019-07-05,2019-07-11,CSE0000026,12111219
L891S65,320,2019-08-04,2019-07-09,CSE0000026,12011723
MC32085,670,2021-08-08,2021-09-01,CSE0000027,11910717
R58049A,290,2021-08-07,2021-09-15,CSE0000027,12212108
S8465W1,840,2021-08-04,2021-09-12,CSE0000027,11711609
A35J746,430,2009-10-22,2009-11-17,CSE0000028,11112316
D50A198,460,2009-12-14,2009-10-25,CSE0000028,12112210
F9135R4,130,2009-11-03,2009-10-31,CSE0000028,11610326
AU79605,400,2009-12-13,2009-12-13,CSE0000028,12112006
EZ12538,830,2009-11-17,2009-12-19,CSE0000028,11311100
F6L2495,860,2009-11-07,2009-11-30,CSE0000028,11112326
CF29758,210,2009-11-22,2009-11-16,CSE0000028,12110225
H7143H9,740,2009-12-09,2009-11-27,CSE0000028,11410826
C2F0671,410,2009-11-13,2009-10-25,CSE0000028,11112918
C45R631,730,2009-10-28,2009-11-03,CSE0000028,11312828
M0467E1,500,2009-12-11,2009-10-31,CSE0000028,11810625
T035M47,350,2009-12-19,2009-10-22,CSE0000028,12111906
P02C741,580,2009-10-28,2009-11-30,CSE0000028,12111112
C3752Y9,410,2009-11-02,2009-10-28,CSE0000028,11411314
S40897X,160,2009-11-05,2009-11-05,CSE0000028,11112326
E7R6098,160,2009-11-18,2009-11-02,CSE0000028,11410100
FG91426,290,2009-10-27,2009-11-19,CSE0000028,11911729
CZ28413,780,2009-11-01,2009-10-28,CSE0000028,11311901
R7248S9,10,2009-12-13,2009-12-05,CSE0000028,11411314
CZ28413,580,2009-10-30,2009-10-26,CSE0000028,12011219
C37A594,70,2009-10-26,2009-12-18,CSE0000028,11312521
BP82450,590,2009-11-06,2009-11-06,CSE0000028,11911702
W9718W3,740,2009-12-15,2009-11-08,CSE0000028,11611106
S956G17,620,2009-11-30,2009-11-07,CSE0000028,11211305
P09Y825,20,2009-10-29,2009-10-31,CSE0000028,12212407
E6N2308,840,2011-10-12,2011-10-15,CSE0000029,11112919
L8N0649,470,2011-11-02,2011-10-29,CSE0000029,11211517
RZ42653,610,2011-09-24,2011-09-24,CSE0000029,11112116
P56U187,310,2011-09-24,2011-09-20,CSE0000029,11712500
LO12047,200,2011-10-26,2011-09-14,CSE0000029,12011818
NY39107,40,2011-10-17,2011-10-04,CSE0000029,11811514
F6L2495,160,2011-10-19,2011-10-28,CSE0000029,11211708
P8130N9,580,2011-09-14,2011-11-01,CSE0000029,11710825
H8713D4,890,2011-10-28,2011-09-24,CSE0000029,12111601
P6398B4,360,2011-09-18,2011-10-10,CSE0000029,11412313
C02614Q,960,2011-10-09,2011-09-07,CSE0000029,11511720
G071O86,840,2011-10-22,2011-09-10,CSE0000029,11812127
T035M47,190,2011-11-04,2011-10-02,CSE0000029,11411616
D265U39,460,2011-10-04,2011-10-30,CSE0000029,11411616
S8465W1,360,2011-09-08,2011-09-29,CSE0000029,11310409
CZ28413,660,2011-09-29,2011-09-10,CSE0000029,11211517
C37A594,880,2011-11-04,2011-11-01,CSE0000029,11112523
C37A594,580,2011-10-23,2011-11-02,CSE0000029,12111627
C04R672,950,2011-10-22,2011-11-01,CSE0000029,12011416
T0829X7,650,2011-09-15,2011-10-23,CSE0000029,12211711
I357B21,590,2011-10-16,2011-11-03,CSE0000029,11412317
I36Z941,390,2011-09-09,2011-09-22,CSE0000029,11410421
T9T8140,150,2011-10-15,2011-10-05,CSE0000029,11211517
BP82450,380,2011-09-29,2011-09-17,CSE0000029,11810208
W9718W3,310,2011-09-29,2011-10-08,CSE0000029,11812127
B189A57,650,2011-09-26,2011-10-19,CSE0000029,12211105
S6I1543,620,2011-09-10,2011-10-20,CSE0000029,12111627
A50L172,350,2011-10-28,2011-10-14,CSE0000029,11410101
I94V518,880,2011-10-23,2011-11-02,CSE0000029,11510105
C46258Y,510,2011-09-15,2011-09-26,CSE0000029,11410318
C367T20,770,2011-10-31,2011-09-13,CSE0000029,11212815
CF29758,430,2011-10-05,2011-10-02,CSE0000029,11811514
IZ80719,60,2011-09-18,2011-09-14,CSE0000029,11612514
D7Y5182,840,2011-10-06,2011-10-21,CSE0000029,12111825
C63081N,30,2011-09-30,2011-09-14,CSE0000029,11510023
M8I1749,860,2011-10-22,2011-10-21,CSE0000029,11510426
SR61908,950,2011-09-29,2011-09-07,CSE0000029,12211718
C95F078,280,2011-10-20,2011-10-25,CSE0000029,11411917
R2I4560,660,2011-09-20,2011-11-03,CSE0000029,11411616
M0467E1,910,2011-10-27,2011-10-03,CSE0000029,11611606
E895N12,810,2011-09-07,2011-11-02,CSE0000029,12112609
MC32085,180,2011-10-08,2011-09-09,CSE0000029,11812127
N74Y235,830,2011-10-15,2011-09-21,CSE0000029,11611500
T67P542,430,2011-09-15,2011-09-05,CSE0000029,11212119
V5W8496,790,2011-10-26,2011-10-12,CSE0000029,11312106
HW53167,630,2011-09-17,2011-10-23,CSE0000029,11812018
W05C734,130,2011-10-28,2011-09-15,CSE0000029,11710825
EE05684,920,2011-10-26,2011-11-01,CSE0000029,11111311
P3650F7,980,2011-10-11,2011-10-28,CSE0000029,11611500
S86042Z,360,2011-09-06,2011-10-15,CSE0000029,11110802
W49310P,610,2011-10-05,2011-10-13,CSE0000029,11710825
D51962U,260,2012-06-25,2012-06-19,CSE0000030,12112006
PY35974,80,2012-07-11,2012-07-23,CSE0000030,12111112
L29837Y,10,2012-07-16,2012-06-07,CSE0000030,11512016
M328K91,240,2012-07-04,2012-06-09,CSE0000030,11311901
HI14706,320,2012-06-18,2012-07-28,CSE0000030,11810126
W05C734,370,2012-07-14,2012-07-12,CSE0000030,11310324
C2056I7,930,2012-07-11,2012-06-16,CSE0000030,11710029
L29837Y,310,2009-05-31,2009-05-19,CSE0000031,11812209
S7843Q5,30,2009-05-05,2009-06-12,CSE0000031,11711701
S15H647,250,2009-06-10,2009-06-03,CSE0000031,11410311
SR61908,640,2009-04-16,2009-04-23,CSE0000031,11512115
T1239W5,920,2009-04-28,2009-06-06,CSE0000031,11710327
F9N8470,120,2009-05-21,2009-05-25,CSE0000031,11610016
GS13927,20,2009-05-09,2009-06-12,CSE0000031,11110725
G8573U9,510,2009-05-03,2009-05-25,CSE0000031,11510201
M8I1749,730,2009-04-22,2009-06-03,CSE0000031,11512016
F790I64,730,2009-04-29,2009-05-17,CSE0000031,11311902
C7826A5,650,2015-03-20,2015-03-12,CSE0000032,11910811
R243J08,270,2018-03-21,2018-02-24,CSE0000033,12110325
UL87156,690,2018-03-31,2018-03-14,CSE0000033,12111219
FC40169,750,2018-03-31,2018-03-01,CSE0000033,12112001
C634K72,750,2018-02-23,2018-04-06,CSE0000033,11911804
F8E7125,380,2018-03-02,2018-02-19,CSE0000033,11511317
F8E7125,670,2009-01-21,2009-02-04,CSE0000034,11410014
A273M51,300,2009-01-23,2009-02-18,CSE0000034,11912925
M79W815,320,2009-03-11,2009-03-01,CSE0000034,11612508
V5W8496,410,2009-03-07,2009-02-16,CSE0000034,11612426
T0829X7,520,2009-03-10,2009-02-04,CSE0000034,11911223
TS64823,720,2009-02-07,2009-03-08,CSE0000034,11210506
V6Q9754,520,2009-02-15,2009-03-14,CSE0000034,12112604
B8E1796,810,2009-01-28,2009-03-05,CSE0000034,12011701
A35J746,100,2019-08-20,2019-07-04,CSE0000035,11811911
L29837Y,230,2019-08-17,2019-07-14,CSE0000035,11811426
U198C32,610,2019-08-26,2019-08-27,CSE0000035,11211610
SW03642,10,2019-07-15,2019-08-05,CSE0000035,11210413
YS95071,460,2019-07-17,2019-08-25,CSE0000035,11712312
C2B7139,660,2019-08-22,2019-08-22,CSE0000035,11911627
M85D039,10,2019-08-08,2019-07-29,CSE0000035,11610329
S6I1543,500,2021-12-13,2021-12-19,CSE0000036,12011728
R243J08,290,2022-01-21,2021-12-28,CSE0000036,11311024
CG63821,240,2021-12-14,2022-01-23,CSE0000036,11811514
FG91426,250,2022-01-11,2021-12-06,CSE0000036,11911115
C7826A5,520,2001-05-28,2001-04-18,CSE0000037,11611508
C3752Y9,550,2001-06-08,2001-04-23,CSE0000037,11312922
HI14706,320,2001-05-06,2001-06-04,CSE0000037,12010120
FK39705,540,2001-04-28,2001-05-07,CSE0000037,12210428
H18Z450,20,2001-04-14,2001-04-21,CSE0000037,11310009
S956G17,70,2001-06-04,2001-06-08,CSE0000037,11210120
T035M47,550,2001-04-11,2001-05-10,CSE0000037,11710914
CO19853,330,2003-03-05,2003-02-18,CSE0000038,11510409
M2589S0,370,2003-03-02,2003-03-05,CSE0000038,11912303
U198C32,840,2003-03-29,2003-02-17,CSE0000038,11612301
P3650F7,160,2003-02-18,2003-02-19,CSE0000038,11410213
C04R672,800,2003-03-25,2003-02-11,CSE0000038,11112514
SE17564,380,2003-03-16,2003-03-09,CSE0000038,11511825
PY35974,930,2000-06-15,2000-06-21,CSE0000039,12112210
C04R672,300,2000-07-16,2000-07-08,CSE0000039,12210524
L85R920,760,2000-06-07,2000-06-06,CSE0000039,11311100
C9520Y6,310,2000-05-31,2000-05-23,CSE0000039,11910621
D8150P6,530,2000-07-12,2000-06-04,CSE0000039,11610022
A794O23,330,2000-05-23,2000-05-25,CSE0000039,11112316
YS95071,540,2000-06-20,2000-06-27,CSE0000039,12211913
M0467E1,960,2000-06-28,2000-07-03,CSE0000039,11212823
L903I17,870,2000-06-22,2000-06-13,CSE0000039,11112504
C2B7139,360,2000-07-12,2000-06-15,CSE0000039,12110225
S93N807,930,2000-06-15,2000-06-28,CSE0000039,11512408
D51962U,610,2010-07-04,2010-07-08,CSE0000040,11110916
M79W815,910,2010-05-25,2010-07-13,CSE0000040,12010902
MM72065,190,2010-06-10,2010-05-19,CSE0000040,11510209
L891S65,150,2010-06-07,2010-06-13,CSE0000040,12011319
G9372K0,510,2010-05-22,2010-07-03,CSE0000040,11810914
I436H05,810,2010-06-02,2010-07-11,CSE0000040,11311906
M8I1749,280,2010-07-15,2010-06-05,CSE0000040,11512115
CZ28413,870,2013-02-14,2013-02-24,CSE0000041,11511312
M9J6453,670,2013-02-14,2013-02-12,CSE0000041,11710304
L92148E,110,2013-02-25,2013-01-21,CSE0000041,11611019
T7E2913,760,2013-02-18,2013-01-26,CSE0000041,11812728
N62Z458,200,2006-08-05,2006-08-10,CSE0000042,11812521
D265U39,280,2006-08-24,2006-08-04,CSE0000042,11212510
P02C741,200,2006-07-23,2006-08-19,CSE0000042,11311817
M5809H7,970,2006-07-26,2006-08-10,CSE0000042,12010120
H7143H9,290,2006-07-19,2006-08-25,CSE0000042,12010120
CC50327,490,2006-08-27,2006-08-28,CSE0000042,11412623
T7E2913,430,2006-07-09,2006-07-09,CSE0000042,12010225
T28310Y,100,2006-08-18,2006-07-26,CSE0000042,11211620
B830R57,500,2018-05-16,2018-04-19,CSE0000043,11910706
S7843Q5,500,2007-01-07,2006-12-12,CSE0000044,12212027
D265U39,700,2006-12-06,2006-12-01,CSE0000044,11411612
S2180L4,720,2007-01-13,2006-11-23,CSE0000044,11612315
FK39705,600,2006-12-08,2006-12-15,CSE0000044,11911223
F790I64,630,2006-12-07,2006-12-29,CSE0000044,11710803
N74Y235,100,2003-11-07,2003-10-02,CSE0000045,11210413
A50L172,680,2003-09-12,2003-10-07,CSE0000045,11112326
P09Y825,450,2003-10-31,2003-09-30,CSE0000045,12210020
PY35974,600,2004-12-13,2004-11-09,CSE0000046,11710803
A50L172,510,2004-12-15,2004-11-12,CSE0000046,11512902
O9F4205,150,2004-11-04,2004-11-17,CSE0000046,11310224
R796N84,930,2004-12-16,2004-12-05,CSE0000046,11612609
A08264O,690,2004-11-07,2004-11-02,CSE0000046,12212801
MR46392,930,2004-12-21,2004-12-16,CSE0000046,11510006
L0X9362,130,2004-11-03,2004-11-12,CSE0000046,11611721
T739U65,520,2004-12-12,2004-11-19,CSE0000046,11612426
